python : import time: self [us] | cumulative | imported package
At line:1 char:1
+ python -X importtime .\SRB1.2-razvoj.py ui 2>&1 | Out-File .\importti ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:       240 |       4000 |               pandas.io.parsers
import time:        20 |       4019 |             pandas.io.parsers.readers
import time:       809 |       5670 |           pandas.io.json._json
import time:       248 |       5918 |         pandas.io.json
import time:        20 |       5938 |       pandas.io.json._json
import time:      1079 |       1079 |       pandas.io.stata
import time:       254 |       8216 |     pandas.api.typing
import time:       320 |      11469 |   pandas.api
import time:       627 |        627 |           tempfile
import time:       275 |        901 |         pandas._testing.contexts
import time:       374 |       1274 |       pandas._testing._io
import time:       247 |        247 |       pandas._testing._warnings
import time:        48 |         48 |           cmath
import time:       346 |        394 |         pandas._libs.testing
import time:       408 |        801 |       pandas._testing.asserters
import time:      1875 |       1875 |       pandas._testing.compat
import time:       492 |       4687 |     pandas._testing
import time:       222 |       4909 |   pandas.testing
import time:       253 |        253 |   pandas.util._print_versions
import time:       243 |        243 |     pandas.io.clipboards
import time:       264 |        264 |         pandas.io.excel._util
import time:       365 |        365 |         pandas.io.excel._calamine
import time:       342 |        342 |         pandas.io.excel._odfreader
